Index,title,artist,image,rank,year
2000,Bad Day,Daniel Powter,https://charts-static.billboard.com/img/1840/12/daniel-powter-nsa-53x53.jpg,1,2006
2001,Temperature,Sean Paul,https://charts-static.billboard.com/img/2005/12/sean-paul-uyx-53x53.jpg,2,2006
2002,Promiscuous,Nelly Furtado Featuring Timbaland,https://charts-static.billboard.com/img/2006/05/nelly-furtado-ezw-53x53.jpg,3,2006
2003,You're Beautiful,James Blunt,https://charts-static.billboard.com/img/2005/07/james-blunt-nim-53x53.jpg,4,2006
2004,Hips Don't Lie,Shakira Featuring Wyclef Jean,https://charts-static.billboard.com/img/2006/03/shakira-mhe-53x53.jpg,5,2006
2005,Unwritten,Natasha Bedingfield,https://charts-static.billboard.com/img/2005/11/natasha-bedingfield-z7w-53x53.jpg,6,2006
2006,Crazy,Gnarls Barkley,https://charts-static.billboard.com/img/2006/04/gnarls-barkley-bom-53x53.jpg,7,2006
2007,Ridin',Chamillionaire Featuring Krayzie Bone,https://charts-static.billboard.com/img/2006/01/chamillionaire-brc-53x53.jpg,8,2006
2008,SexyBack,Justin Timberlake,https://charts-static.billboard.com/img/2006/07/justin-timberlake-bcj-53x53.jpg,9,2006
2009,Check On It,Beyonce Featuring Slim Thug,https://charts-static.billboard.com/img/2002/06/beyonce-0na-53x53.jpg,10,2006
2010,Be Without You,Mary J. Blige,https://charts-static.billboard.com/img/2017/07/mary-j-blige-53x53.jpg,11,2006
2011,Grillz,"Nelly Featuring Paul Wall, Ali & Gipp",https://charts-static.billboard.com/img/2005/10/nelly-fmf-53x53.jpg,12,2006
2012,Over My Head (Cable Car),The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,13,2006
2013,Me & U,Cassie,https://charts-static.billboard.com/img/2006/03/cassie-68b-53x53.jpg,14,2006
2014,Buttons,The Pussycat Dolls Featuring Snoop Dogg,https://charts-static.billboard.com/img/2006/04/the-pussycat-dolls-t1l-53x53.jpg,15,2006
2015,Run It!,Chris Brown,https://charts-static.billboard.com/img/2005/07/chris-brown-cte-53x53.jpg,16,2006
2016,So Sick,Ne-Yo,https://charts-static.billboard.com/img/2005/10/ne-yo-kuu-53x53.jpg,17,2006
2017,It's Goin' Down,Yung Joc,https://charts-static.billboard.com/img/2006/01/yung-joc-f7d-53x53.jpg,18,2006
2018,SOS,Rihanna,https://charts-static.billboard.com/img/2005/06/rihanna-t38-53x53.jpg,19,2006
2019,I Write Sins Not Tragedies,Panic! At The Disco,https://charts-static.billboard.com/img/2006/02/panic-at-the-disco-yl6-53x53.jpg,20,2006
2020,Move Along,The All-American Rejects,https://charts-static.billboard.com/img/2005/07/the-all-american-rejects-yky-53x53.jpg,21,2006
2021,London Bridge,Fergie,https://charts-static.billboard.com/img/2006/07/fergie-8pu-53x53.jpg,22,2006
2022,Dani California,Red Hot Chili Peppers,https://charts-static.billboard.com/img/1984/09/red-hot-chili-peppers-s9k-53x53.jpg,23,2006
2023,Snap Yo Fingers,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,https://charts-static.billboard.com/img/2005/12/lil-jon-cje-53x53.jpg,24,2006
2024,"Lean Wit It, Rock Wit It",Dem Franchize Boyz Featuring Lil Peanut & Charlay,https://charts-static.billboard.com/img/2005/11/dem-franchize-boyz-a35-53x53.jpg,25,2006
2025,What Hurts The Most,Rascal Flatts,https://charts-static.billboard.com/img/2006/01/rascal-flatts-o8u-53x53.jpg,26,2006
2026,How To Save A Life,The Fray,https://charts-static.billboard.com/img/2016/11/the-fray-53x53.jpg,27,2006
